DATES:2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,2025-05-28,2025-05-29,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
d,s,mx,mn,ng,hm,ws,pr,hw,tn,er,pw
78,992,31.4,21.6,22,92.7,1.5,97,,,0.2,S
78,995,28.6,21.5,21.1,91.9,1.4,77.5,,,0.3,SW
79,130,25.5,21,21.3,91.5,2.1,21.7,,,0.1,S
79,138,24.2,22.1,22.9,91.9,1.9,40.7,,,0,SW
79,143,23.2,21.2,21.5,95.1,2.1,68.1,,,0.7,SE
79,152,24.2,21.1,21.5,95.8,1.3,101.9,,,0.2,S
79,159,27.4,21.7,22.8,89.5,2.9,47.5,,,0.2,SW
79,162,26.9,22.8,22.5,89,4.3,4.8,,,0.1,S
79,257,27,21.5,21.2,99.1,1.4,127.9,,,0.1,SW
79,271,23.9,21.1,20.8,96.5,0.6,33.5,,,0.1,N
79,278,24.7,22,20.6,98.2,0.7,37.4,,,0.1,SW
79,285,24.2,21.3,22.1,98.9,0.7,280.1,,,0.2,SW
79,288,24,21.9,21.6,94.9,1,136.5,,,0.2,NW
79,311,21.4,18.7,18.4,99.4,0.6,99,,,0.1,NW
79,800,27.3,22.3,22.6,88.4,3.5,25.5,,,0,S
79,804,24.6,21.4,22.6,91.4,2.9,59.5,,,0,SW
79,808,25,21.6,22.2,90.4,2.7,51.5,,,0,SW
79,828,24.4,21.6,21.9,99.9,1.9,97.5,,,0,S
79,830,25,22,21.4,91.9,1.2,57.5,,,0.2,NW
79,843,26.3,22,21.9,89.3,1.6,23.5,,,0.1,W
79,845,23.4,21.4,21.8,99.7,1.2,69.5,,,0.7,NE
79,846,22.7,21.3,21.6,97.7,1,59.5,,,0.5,NE
79,852,26.2,20.5,21,91.5,2.8,20,,,0,S
79,860,23.1,21.4,22,94.6,1.1,65,,,0.8,E
79,905,24.5,21.2,21.1,96.1,1.1,249.5,,,0.2,SE
79,915,25.3,20.9,21.1,100,1.9,329,,,0.2,W
79,922,23.8,20.7,20.7,97.4,0.7,100.5,,,0.2,S
79,927,23.4,21,21.3,97.4,0.9,100,,,0.3,E
79,935,24.6,21.2,21.4,99.9,2.3,200.5,,,0.7,E
79,991,24.2,22,21.9,99.3,1.5,66,,,0.3,NE
79,992,23.6,21.8,21.8,99,1.6,71.5,,,0.6,E
79,995,24.1,21.1,20.8,95.5,1,50.5,,,0.1,SW
80,130,27.6,21.3,24.6,85.3,1.9,21.7,,,0,S
80,138,31.7,22.9,25.4,75.5,2,40.7,,1,0,SW
80,143,32,21.5,23.4,80,1,68.1,,,0.4,SE
80,152,30.6,21.7,23.3,82.4,0.9,101.9,,,0.2,SE
80,159,31.3,23.9,25.9,77.1,1,47.5,,1,0.2,S
80,162,30.9,22.5,24.5,82.1,1.3,4.7,,,0.1,S
80,257,32.5,21.2,24.2,85,1,127.9,,,0,SW
80,271,27.6,20.8,21.1,90.5,0.7,33.5,,,0,NW
80,278,29.5,20.6,22,91.2,0.5,37.4,,,0.1,N
80,285,32.4,22.1,23,86.4,0.7,280.1,,,0.1,S
80,288,32.7,21.6,24.3,82.9,0.8,136.5,,,0,SW
80,311,27.2,18.4,19.6,94.6,0.6,99,,,0.1,S
80,800,29.3,22.6,24.1,84.9,2.6,25.5,,,0,S
80,804,31,22.6,23.2,80.6,2.8,59.5,,,0,SW
80,808,31.8,22.2,23.1,79.7,2.2,51.5,,,0,S
80,828,31.7,21.9,23.7,91.9,1.3,97.5,,,0,S
80,830,32.7,21.4,22.1,82.3,0.9,57.5,,,0.1,NW
80,843,30.6,21.9,22.8,77.9,1.9,23.5,,,0,W
80,845,32.4,21.8,23.3,85.1,0.9,69.5,,,0.3,SW
80,846,31.4,21.6,23.6,81.6,0.5,59.5,,,0,SW
80,852,25.3,21,22.2,86.5,2.5,20,,,0,S
80,860,32.3,22,24.2,77.9,0.7,65,,,0.3,S
80,905,32.5,21.1,23.1,83.9,1.5,249.5,,,0.1,NW
80,915,31.2,21.1,22.1,89,1.7,329,,,0.1,W
80,922,30.7,20.8,21.8,86.2,0.7,100.5,,,0.3,SE
80,927,31.7,21.3,22.3,85.4,1.4,100,,,0.1,SW
80,935,31.8,21.4,22.8,91.8,1.6,200.5,,,0.3,SW
80,991,32,21.9,23.4,86.3,1.5,66,,,0.1,SW
80,992,32.4,21.8,23.1,87.5,1.4,71.5,,,0.1,S
80,995,,,,89.7,1.1,50.5,,,0.1,SW
81,130,32.9,24.6,25.7,76.1,1.8,0,,1,0.1,SW
81,138,32.2,25.4,26.1,70.5,2.6,0,,1,0,SW
81,143,30.8,23.4,25,83.6,0.9,5.6,,1,0.5,SE
81,152,31.4,23.3,23.6,76.8,2,0,,,0.1,SW
81,159,31.1,25.9,25.6,78.7,3.3,0,,1,0,SW
81,162,30.2,24.5,24.2,86.1,2.1,0.8,,,0.1,S
81,257,31.8,24.2,23.7,90.2,1.7,4.5,,,0,SW
81,271,30.8,21.1,21.9,86.7,0.9,1,,,0,S
81,278,32.3,22,23.3,86.4,0.8,0,,,0.1,SW
81,285,30.5,23,22.5,90,0.6,0.3,,,0,SW
81,288,30.4,24.3,24.9,87.3,0.9,6.9,,,0.1,NW
81,311,26.8,19.6,19.3,96.1,0.6,3.5,,,0.1,S
81,800,31.7,24.1,24.6,78.5,3.1,0,,,0,S
81,804,32.1,23.2,24.1,78.7,3.2,0,,,0,SW
81,808,32.5,23.1,26.5,76.4,1.8,0,,1,0.1,SW
81,828,30.1,23.7,23.9,98,1.7,0,,,0,S
81,830,32.3,22.1,23.3,81.8,1.6,0,,,0.1,W
81,843,33,22.8,24.4,72.2,2,0,1,,0,W
81,845,31.1,23.3,24.8,88.1,0.5,0,,,0.4,W
81,846,31.5,23.6,24.2,83.2,0.6,0,,,0,W
81,852,32.5,22.6,23.5,77.6,2.3,0,,,0,SW
81,860,31.3,24.2,25.6,79.5,0.8,1.5,,1,0.2,NW
81,905,30.6,23.1,22.8,88.4,1.4,6.5,,,0.1,NW
81,915,29.5,22.1,21.7,96.6,1.3,8,,,0.1,W
81,922,29.1,21.8,22.4,90.6,0.6,2.5,,,0.2,NW
81,927,30.1,22.3,23.2,89.8,0.9,2.5,,,0.2,SW
81,935,29.4,22.8,22.9,99.1,1.6,0,,,0.3,SE
81,991,31.9,23.4,23.5,88.3,1.6,0,,,0.1,SW
81,992,31,23.1,23.4,93.5,1.1,1.5,,,0.3,N
81,995,,,,90.3,1,21,,,0.2,SW
82,130,32.8,26,24.9,74.8,1.9,0,,,0,W
82,138,34.9,26.1,26.7,64.5,2.5,0,1,1,0,SW
82,143,34.2,25,24.8,70.2,0.8,5.6,1,,0.2,NW
82,152,32.8,23.6,24.1,72.9,1.3,0,,,0.1,W
82,159,32.2,25.6,26.4,75.1,3.1,0,,1,0,S
82,162,31.7,24.2,23.7,80.6,1.6,0.8,,,0.1,S
82,257,34.4,23.7,24,79.3,1.7,4.5,1,,0,SW
82,271,31.9,21.9,19.9,82.8,1,1,,,0.1,N
82,278,34.6,23.3,23.4,80.6,1,0,1,,0.1,SW
82,285,33.9,22.5,23.7,81.3,0.6,0.3,1,,0.1,SW
82,288,35.3,24.9,24.7,75.9,1,6.9,1,,0.1,W
82,311,28.3,19.3,20.3,94.1,0.6,0,,,0.1,S
82,800,33.4,24.6,23.4,75.6,2.2,0,1,,0.1,S
82,804,33.9,24.1,23.9,75.5,2.2,0,1,,0.1,SW
82,808,33.7,25.2,25.2,71.4,2.7,0,1,1,0,W
82,828,34.1,23.9,23.7,85.8,0.7,0,1,,0,S
82,830,34.9,23.3,23.3,74.4,1.8,0,1,,0,W
82,843,34.5,24.4,23.2,68.7,2.2,0,1,,0,W
82,845,35.5,24.8,24.3,76.4,0.8,0,1,,0,W
82,846,34,24.2,24.6,73.3,0.5,0,1,,0,W
82,852,31.7,25,24.9,73.4,2,0,,,0,SW
82,860,34.8,25.6,25.8,68,0.9,1.5,1,1,0.2,NW
82,905,34.5,22.8,22.8,77.9,1.4,6.5,1,,0.1,NW
82,915,33.5,21.7,22.4,87.1,1,8,1,,0,W
82,922,32.9,22.4,21.8,81,0.7,2.5,,,0.3,NE
82,927,34,23.2,22.8,81,1,2.5,1,,0.2,SW
82,935,34,22.9,23.9,87,1.2,0,1,,0.3,W
82,991,34.4,23.5,24,82,1.4,0,1,,0,W
82,992,34.7,23.4,23.5,85.1,0.9,1.5,1,,0,W
82,995,,,23.9,79.4,1.6,21,,,0.2,SW
83,130,31.2,24.9,24.9,75.4,1.4,0,,,0.2,SE
83,138,32.4,26.7,25.4,68.2,2.3,0,,1,0.4,NE
83,143,35.2,24.8,24.9,67.9,0.8,0,1,,0.5,E
83,152,32.8,24.1,22.1,73.1,1.2,0,,,0.2,S
83,159,32.3,26.4,24.7,70.5,2.3,0,,,0.3,S
83,162,32,23.7,23.5,79.7,1.3,0,,,0.1,S
83,257,35.3,24,21.8,79.6,1.2,0,1,,0.1,SW
83,271,32.4,19.9,21.1,82,0.9,0,,,0,SE
83,278,35.2,23.4,23.5,79.8,0.7,0,1,,0,SW
83,285,35.2,23.7,23.4,80.4,0.6,0,1,,0.2,SW
83,288,36.3,24.7,24.6,74.1,1.2,0,1,,0.2,S
83,311,29.9,20.3,19.8,91.8,0.6,0,,,0.1,S
83,800,31,23.4,23.2,78.9,1.7,0,,,0.4,S
83,804,31.8,23.9,22.4,76.4,1.9,0,,,0.4,SW
83,808,32.8,24.7,21.9,70.5,2.2,0,,,0,S
83,828,35.3,23.7,23.3,84,0.7,0,1,,0.1,NW
83,830,35.3,23.3,22.2,74,1.2,0,1,,0.3,W
83,843,32.8,23.2,23,72.1,1.6,0,,,0.3,SE
83,845,35.9,24.3,24.4,77,0.6,0,1,,0.2,NW
83,846,34.6,24.6,24.4,72,0.4,0,1,,0,NW
83,852,29.8,24.8,24,74.4,1.7,0,,,0.2,SW
83,860,36.2,25.8,25.8,66.4,1,0,1,1,0.2,NW
83,905,35.1,22.8,20.4,78,1.3,0,1,,0.3,NW
83,915,34.6,22.4,22.5,85.4,1.2,0,1,,0.3,NE
83,922,34.4,21.8,20.6,79.7,0.8,0,1,,0.3,SE
83,927,35,22.8,22,82,0.9,0,1,,0.1,NE
83,935,34.8,23.9,23.8,84,1.1,0,1,,0.3,SW
83,991,35.4,24,23.7,79,1.1,0,1,,0.1,SW
83,992,35.4,23.5,23.7,81.4,0.8,0,1,,0.3,N
83,995,33.8,23.4,20.4,78.4,1.1,0,1,,0.3,SW
84,130,30.3,24.9,23.6,79.3,1.7,0,,,0,S
84,138,33.6,25.4,24.7,63,2.2,0,1,,0.4,SW
84,143,35.2,24.9,23.4,65.7,1.2,0,1,,0.8,SE
84,152,32.4,22.1,23.9,68.8,1.1,0,,,0.2,S
84,159,31.7,24.7,26.9,68.6,1.9,0,,1,0.8,E
84,162,34,23.5,26,74,1.8,0,1,1,0.5,NE
84,257,34.7,21.8,25.7,70.8,1.3,0,1,1,0.6,SE
84,271,33.6,21.1,19.4,78.8,0.8,0,1,,0,NW
84,278,35.7,23.4,21.1,78.1,0.8,0,1,,0,N
84,285,35.1,23.4,22.5,80.5,0.5,0,1,,0.2,SW
84,288,36.7,24.6,23.5,70.6,1.3,0,1,,0.2,S
84,311,30.2,19.8,19.2,87.8,0.7,0,,,0,S
84,800,30.4,23,21.7,79.2,2.9,0,,,0,S
84,804,32.9,22.4,22,78,1.6,0,,,0.3,SE
84,808,30.3,21.9,22.3,75,1.6,0,,,0.1,S
84,828,36,23.3,23.1,83.4,,0,1,,0.1,NW
84,830,36,22.2,21.1,73.2,1,0,1,,0.5,SE
84,843,34.6,23,22.2,74.7,1.2,0,1,,0.3,NW
84,845,36.2,24.4,23.5,71.2,0.9,0,1,,0.5,NE
84,846,35.5,24.4,24.1,67.1,0.4,0,1,,0.3,SE
84,852,27.9,23.7,23.1,79.8,2.1,0,,,0,SW
84,860,36.3,25.8,24.4,62.7,1.2,0,1,,0.6,E
84,905,34.9,20.4,22.4,70.8,1.7,0,1,,0.3,NW
84,915,35.4,22.5,21.4,83.8,1.6,0,1,,0.3,NE
84,922,34,20.6,20.5,69.7,1.5,0,1,,0.2,S
84,927,36,21.9,20.7,75.8,1,0,1,,0.1,W
84,935,35.2,23.8,22.6,82.1,1,0,1,,0.3,SW
84,991,36.4,23.7,22.6,78.4,1,0,1,,0.1,W
84,992,36.5,23.7,21.7,80.7,0.8,0,1,,0.2,N
84,995,33.7,20.4,21.5,75.4,1.3,0,1,,0.2,SW
85,130,29.2,23.6,24.2,77.1,2,0,,,0,S
85,138,34,24.7,25.5,61.1,2,0,1,1,0.1,S
85,143,35.1,23.4,23.8,63,1.7,0,1,,0.9,SE
85,152,32.3,23.9,24.2,68.8,1.3,0,,,0.2,SE
85,159,32.2,26.9,27.1,68.7,2.6,0,,1,0.9,E
85,162,32.3,26,25.8,72.1,2.4,0,,1,0.8,NE
85,257,33.9,26,25.4,69.4,2.1,0,1,1,0.7,NE
85,271,33.6,19.4,19.7,77.1,0.9,0,1,,0.2,NW
85,278,35.4,21.1,21.6,73.4,1,0,1,,0.1,NE
85,285,34.4,22.5,22.8,77.6,0.8,0,1,,0.3,SW
85,288,34.9,23.5,24,67.5,1.5,0,1,,0.2,S
85,311,30,19.2,19.2,88.2,0.8,0,,,0,S
85,800,31.3,21.7,21.8,80.3,2.6,0,,,0,S
85,804,32.7,22,22.1,75.6,2.2,0,,,0.2,SW
85,808,29.8,22.3,24.7,85.2,1.4,0,,,0.2,SE
85,828,34.4,23.1,23.2,80.8,1,0,1,,0,S
85,830,35.2,21.1,21.4,71.8,1.4,0,1,,0.2,SE
85,843,35.5,22.2,23.2,68,1.2,0,1,,0.1,NW
85,845,36.1,23.5,23.9,66.7,1.1,0,1,,0.8,NE
85,846,35.6,24.1,24.2,64.1,0.6,0,1,,0.3,NE
85,852,28.5,23.1,23.6,79.4,3.3,0,,,0,S
85,860,35.9,24.4,25.1,59.6,1.6,0,1,1,0.8,E
85,905,33.7,22.4,22.8,73,1.8,0,1,,0.2,NW
85,915,33.8,21.4,21.5,83.4,1.6,0,1,,0.4,NE
85,922,32,20.5,21,75.9,1.1,0,,,0.3,SE
85,927,34,20.7,21.3,75.8,1.3,0,1,,0.1,S
85,935,34,22.6,22.8,78.4,1.2,0,1,,0.2,W
85,991,35.5,22.6,23.2,75.7,1.5,0,1,,0.1,SW
85,992,35.4,21.7,22.1,78.4,1.1,0,1,,0.2,N
85,995,32.9,21.5,22.1,76.1,1.3,0,,,0.1,SW
86,130,29.3,24.2,24.9,74.9,2.2,0,,,0,S
86,138,34.2,25.5,25.9,62.5,2.2,0,1,1,0.1,SW
86,143,34.4,23.8,24.4,65.7,1.4,0,1,,0.7,SE
86,152,32.6,24.2,24.4,71.1,1.4,0,,,0.2,S
86,159,33,27.1,27.2,69.3,2.7,0,1,1,1,NE
86,162,32.7,25.8,26.7,72.5,2.1,0,,1,0.7,NE
86,257,34.3,25.4,26,69.5,1.9,0,1,1,0.6,NE
86,271,33.7,19.7,20.8,78,1,0,1,,0.1,NW
86,278,35,21.6,22.5,74.6,0.8,0,1,,0.1,N
86,285,34.1,22.8,23.3,77.5,0.7,0,1,,0.4,SW
86,288,35.5,24,24.4,68.2,1.6,0,1,,0.4,NE
86,311,29.1,19.2,20,88.9,0.7,0,,,0,S
86,800,31.6,21.8,22.8,79.4,2.6,0,,,0,S
86,804,32.3,22.1,23.1,77.9,2,0,,,0.4,SW
86,808,30.4,24.7,25,83.3,1.6,0,,1,0.2,SE
86,828,34,23.2,24,82.1,1,0,1,,0,NW
86,830,35.5,21.4,22.3,74,1.2,0,1,,0.2,SE
86,843,36,23.2,23.6,68.1,1.3,0,1,,0,W
86,845,35.3,23.9,24.1,69.9,0.8,0,1,,0.8,NE
86,846,34.8,24.2,24.4,64.1,0.6,0,1,,0.3,SE
86,852,28,23.6,23.6,78.3,2.9,0,,,0,S
86,860,35.7,25.1,25.4,61.7,1.5,0,1,1,0.8,E
86,905,33.7,22.8,23.5,74.1,1.7,0,1,,0.1,SE
86,915,33.1,21.5,22.1,84.8,1.8,0,1,,0.5,NE
86,922,32.4,21,21.5,76.6,1.2,0,,,0.3,SE
86,927,33.9,21.3,21.8,76.7,1.2,0,1,,0.2,SE
86,935,34,22.8,23.3,79.7,1.2,0,1,,0.2,W
86,991,35.1,23.2,23.3,76.3,1.2,0,1,,0.1,W
86,992,35.1,22.1,22.6,78.9,1,0,1,,0.2,N
86,995,33.3,22.1,22.6,76.5,1.3,0,1,,0.1,SW
87,130,30.7,24.9,25.5,69.7,2.2,0,,1,0,S
87,138,34.3,25.9,25.7,59.1,2.4,0,1,1,0.1,SW
87,143,35.9,24.4,23.9,62.7,1.3,0,1,,0.8,SE
87,152,32.3,24.4,23.5,67.8,1.3,0,,,0.1,S
87,159,32.8,27.2,26.9,65.2,2.6,0,,1,1,E
87,162,33.5,26.7,25.6,68.1,2.2,0,1,1,0.6,NE
87,257,34.2,26,24.1,67.3,2,0,1,,0.7,NE
87,271,34,20.8,21.3,75.2,1.1,0,1,,0.1,NW
87,278,36,22.5,21.8,72,0.9,0,1,,0.1,SW
87,285,34.3,23.3,22.6,77.2,0.7,0,1,,0.2,SW
87,288,35.4,24.4,23.9,66.8,1.6,0,1,,0.1,S
87,311,29.6,20,19.5,87.8,0.7,0,,,0,S
87,800,31.5,22.8,22,75.7,3.2,0,,,0,S
87,804,33.6,23.1,22.6,71.6,2.5,0,1,,0.1,SW
87,808,33.3,24.7,23.7,70.3,1.8,0,1,,0.1,S
87,828,35.3,24,23,79.2,1.4,0,1,,0,S
87,830,35.2,22.3,21.1,69.8,1.8,0,1,,0.3,SE
87,843,36.8,23.6,25.3,63.6,1.4,0,1,1,0,W
87,845,36.3,24.1,23.7,67.7,0.8,0,1,,0.7,NE
87,846,35.4,24.4,23.6,64.5,0.4,0,1,,0.1,NE
87,852,28.4,23.9,23.9,73.7,3,0,,,0,SW
87,860,36.1,25.4,25,60.3,1.5,0,1,1,0.7,SE
87,905,33.9,23.5,21.9,70.1,1.9,0,1,,0.1,NW
87,915,33.9,22.1,21.4,83.2,1.7,0,1,,0.4,NE
87,922,32.9,21.5,21,72.4,1.3,0,,,0.2,SE
87,927,34.9,21.8,20.9,73.8,1.5,0,1,,0.2,S
87,935,34.5,23.3,22.4,78,1.2,0,1,,0.1,W
87,991,35.6,23.3,23.1,74,1.6,0,1,,0,SW
87,992,35.5,22.6,22.2,77.2,1.3,0,1,,0.2,W
87,995,33.2,22.6,22.2,71.5,1.4,0,1,,0.2,SW
88,130,29.9,25.3,23.4,71.8,2.3,0,,,0,S
88,138,34.2,25.7,25,59.9,2.2,0,1,1,0.3,SW
88,143,36.6,23.9,24.4,60.8,1.2,0,1,,0.6,SE
88,152,32.5,23.5,22.5,68.3,1.2,0,,,0.1,S
88,159,32.6,26.9,26.2,67.3,2.1,0,,1,0.9,E
88,162,34.1,25.6,25,68.3,2.4,0,1,1,0.4,NE
88,257,36.1,24.1,23,69.5,1.1,0,1,,0.3,SE
88,271,35.1,21.3,20.9,78.4,1.2,0,1,,0.2,NW
88,278,36.9,21.8,24.1,72.5,0.9,0,1,,0.1,SW
88,285,36.2,22.6,22.1,74.7,0.8,0,1,,0.2,SW
88,288,37.7,23.9,23.1,66.4,1.3,0,1,,0.2,W
88,311,31.1,19.5,18,87.2,0.6,0,,,0,S
88,800,32,22,21.9,78,2.2,0,,,0,S
88,804,34,22.6,21.7,72.7,2.1,0,1,,0.2,SW
88,808,33,23.7,23.3,66.9,2.6,0,1,,0,S
88,828,36.8,23,22.5,79,1,0,1,,0.1,NW
88,830,36.7,21.1,20.6,71.5,1.2,0,1,,0.3,S
88,843,35,25.2,23.9,64.4,2.4,0,1,,0.3,W
88,845,37,23.7,25.3,66.8,0.6,0,1,1,0.3,NE
88,846,36.2,23.6,24.5,64.1,0.5,0,1,,0,NW
88,852,28.4,23.9,23.2,74.8,2.4,0,,,0,SW
88,860,37.6,25,25.8,58.5,1.2,0,1,1,0.5,E
88,905,36.1,21.9,20.2,72.2,1.4,0,1,,0.2,NW
88,915,35.5,21.4,20.8,80.5,1.5,0,1,,0.4,NE
88,922,35.7,21,19.3,72.8,0.9,0,1,,0.3,SE
88,927,36.1,20.9,19.4,74.7,1.2,0,1,,0.2,SW
88,935,37.1,22.4,22.1,74,1.2,0,1,,0.3,NE
88,991,37,23.1,23.4,72.8,1.3,0,1,,0.1,W
88,992,36.7,22.2,22.7,77.2,0.9,0,1,,0.3,N
88,995,35.8,22.2,20.6,73.6,1.1,0,1,,0.1,SW
89,130,29.4,23.4,22.9,81.1,1.7,0,,,0.4,S
89,138,33.8,25,25.1,63.8,2.3,0,1,1,0.5,E
89,143,35.8,24.4,23,60.2,1.8,0,1,,0.8,SE
89,152,33.1,22.5,23.4,68.5,1.1,0,1,,0.2,SE
89,159,32.8,26.2,26.2,67.7,2.3,0,,1,0.8,E
89,162,34.4,25,25,69.4,2.6,0,1,1,0.5,NE
89,257,35.2,23,24,66.4,1.6,0,1,,0.5,SE
89,271,34.4,20.9,17.6,75.9,1.2,0,1,,0.1,NW
89,278,37,23.8,20.5,70.4,1,0,1,,0.2,NE
89,285,35.3,22.1,21,72.8,0.7,0,1,,0.1,SW
89,288,36.8,23.1,22.7,67,1.5,0,1,,0.2,S
89,311,30.6,18,17.4,81.2,0.7,0,,,0,S
89,800,31.9,21.9,22,81.1,2.2,0,,,0.2,S
89,804,33.3,21.7,22.1,75.2,2.2,0,1,,0.3,SW
89,808,31.5,23.3,23.7,78.1,1.6,0,,,0.1,S
89,828,36,22.5,21.4,76,0.9,0,1,,0.1,W
89,830,35.9,20.6,21.5,71.2,1.4,0,1,,0.4,SE
89,843,33.2,23.1,20.9,72,1.7,0,1,,0.4,SE
89,845,37.1,25.3,22.7,65.3,1.3,0,1,,0.7,NE
89,846,36.1,24.5,23.2,61,0.5,0,1,,0.3,SE
89,852,28.7,23.2,22.9,84.2,2.3,0,,,0.3,S
89,860,37.2,25.8,24.2,57.4,1.6,0,1,,0.9,E
89,905,35.6,20.2,22.5,69.9,1.5,0,1,,0.4,NW
89,915,35.1,20.8,19.4,78.2,1.4,0,1,,0.3,NE
89,922,33.4,19.3,19.4,70.6,1.2,0,1,,0.3,SE
89,927,35.5,19.4,19.5,74.6,0.9,0,1,,0.2,SE
89,935,35.6,22.1,21.2,72.6,1.2,0,1,,0.3,SW
89,991,36,23.4,21.8,71.4,1.4,0,1,,0,W
89,992,36,22.7,21.3,74.4,1,0,1,,0.2,W
89,995,34.4,20.6,22.3,72.9,1.2,0,1,,0.2,S
90,130,29.9,22.9,24.2,82.1,1.7,0,,,0.1,SW
90,138,29.6,25.1,26.1,81.6,2,0,,1,0.7,NE
90,143,35.1,23,24.6,62.9,1.9,0,1,,0.9,SE
90,152,32.5,23.4,23.6,72.6,1.6,0,,,0.5,NE
90,159,32.5,26.2,26.8,66.6,2.5,0,,1,0.7,E
90,162,33.3,25,25.1,70.5,2.3,0,1,1,0.5,NE
90,257,34.2,24,23.9,69,1.7,0,1,,0.7,E
90,271,34,17.6,19.4,72.3,1.3,0,1,,0.2,NW
90,278,36.5,20.5,22.9,69.5,0.9,0,1,,0.3,N
90,285,35.2,21,22.2,71.4,1,0,1,,0.3,SW
90,288,36.1,22.7,22.7,65.2,1.8,0,1,,0.4,NE
90,311,29.8,17.4,18.9,82.5,0.8,0,,,0,S
90,800,32.6,22,24.1,83,1.8,0,,,0.2,S
90,804,30.9,22.1,23.5,83.7,2.1,0,,,0.5,NE
90,808,30.7,23.7,25.6,86.6,1.3,0,,1,0.5,NW
90,828,34.8,21.4,23.3,75,1.2,0,1,,0,S
90,830,35.3,21.5,23.4,75.7,1.5,0,1,,0.4,NW
90,843,33,20.9,22,72.3,1.7,0,1,,0.5,SE
90,845,36.6,22.7,25,66.6,1.5,0,1,1,0.8,NE
90,846,35.6,23.2,24.6,61,0.9,0,1,,0.4,SE
90,852,29.3,22.9,24.5,81,1.9,0,,,0.2,SW
90,860,36.4,24.2,26,59.7,1.8,0,1,1,0.9,E
90,905,34.1,22.5,22.4,70.1,2,0,1,,0.4,NW
90,915,33.7,19.4,20.9,79.2,1.8,0,1,,0.3,NE
90,922,32.8,19.4,19.3,73.5,1,0,,,0.3,SE
90,927,35.9,19.5,19.2,72.8,0.9,0,1,,0.3,SE
90,935,34.9,21.2,22.4,71.6,1.2,0,1,,0.2,SW
90,991,36,21.8,22.8,70.5,1.3,0,1,,0,W
90,992,35.9,21.3,22.4,74.5,1,0,1,,0.4,SE
90,995,33.1,22.3,23.4,81.5,1.2,0,1,,0.4,SW
91,130,29.9,24.2,21.5,84.9,1.6,0,,,0,W
91,138,30.1,26.1,26,82.8,2.4,0,,1,0.6,NE
91,143,35.9,24.6,23.6,62.9,1.7,0,1,,0.8,E
91,152,32.6,23.6,23.6,71.8,1.6,0,,,0.5,E
91,159,32.9,26.8,26.3,71.2,2.6,0,,1,0.8,E
91,162,34.3,25.1,25.2,68.3,2.4,0,1,1,0.4,NE
91,257,34.9,23.9,23.9,68.3,1.7,0,1,,0.8,E
91,271,33.6,19.4,17.5,76,1,0,1,,0.1,NW
91,278,36,22.9,20.8,74.3,0.7,0,1,,0.2,NE
91,285,35.3,22.2,21.4,72.2,0.8,0,1,,0.3,SW
91,288,36.5,22.7,23.2,65.5,1.6,0,1,,0.3,NE
91,311,30.1,18.9,17.3,81,0.8,0,,,0,S
91,800,31.7,24,21.8,82.6,1.4,0,,,0,S
91,804,30.9,23.5,22.9,84.3,2,0,,,0.5,NE
91,808,31.5,25.6,25.4,85.7,1.2,0,,1,0.3,NW
91,828,35.3,23.3,22.7,78.4,1,0,1,,0,NW
91,830,34.5,23.4,22.7,75.2,1.8,0,1,,0.4,NW
